snapshot,solar_mw,wind_mw,load_shedding_mw,electricity_demand_mw,hydrogen_demand_mw,electrolyzer_input_mw,hydrogen_output_mw,mining_mw
2030-01-01 00:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 01:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 02:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 03:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 04:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 05:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 06:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 07:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 08:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 09:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 10:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 11:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 12:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 13:00:00,-0.0,7929.132739149419,5333.770486657032,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-01 14:00:00,-0.0,7929.132739149419,5333.770486657032,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-01 15:00:00,-0.0,12180.645161290322,1082.2580645161288,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-01 16:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 17:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 18:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 19:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 20:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 21:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 22:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-01 23:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 00:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 01:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 02:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 03:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 04:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 05:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 06:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 07:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 08:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 09:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 10:00:00,12202.279042736624,1294.2814086228573,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 11:00:00,488.7150532668268,10763.474353910022,2010.7138186296022,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-02 12:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 13:00:00,-0.0,9346.303546529733,3916.5996792767182,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-02 14:00:00,-0.0,12180.645161290322,1082.2580645161288,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-02 15:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 16:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 17:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 18:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 19:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 20:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 21:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 22:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-02 23:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-03 00:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-03 01:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-03 02:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-03 03:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-03 04:00:00,10637.351053020508,2859.209398338973,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-03 05:00:00,13271.213244350023,225.34720700945763,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-03 06:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-03 07:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-03 08:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-03 09:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-03 10:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-03 11:00:00,3851.490547447503,9645.069903911977,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-03 12:00:00,-0.0,13496.56045135948,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-03 13:00:00,-0.0,-0.0,13262.90322580645,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-03 14:00:00,-0.0,-0.0,13262.90322580645,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-03 15:00:00,-0.0,-0.0,13262.90322580645,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-03 16:00:00,-0.0,-0.0,13262.90322580645,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-03 17:00:00,-0.0,-0.0,13262.90322580645,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-03 18:00:00,-0.0,-0.0,13262.90322580645,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-03 19:00:00,-0.0,-0.0,13262.90322580645,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-03 20:00:00,-0.0,-0.0,13262.90322580645,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-03 21:00:00,-0.0,-0.0,13262.90322580645,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-03 22:00:00,-0.0,-0.0,13262.90322580645,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-03 23:00:00,-0.0,-0.0,13262.90322580645,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-04 00:00:00,-0.0,-0.0,13262.90322580645,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-04 01:00:00,-0.0,-0.0,13262.90322580645,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-04 02:00:00,-0.0,-0.0,13262.90322580645,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-04 03:00:00,7277.69501662664,3677.6203170085287,2307.587892171283,13262.90322580645,20.0,-0.0,-0.0,0.0
2030-01-04 04:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
2030-01-04 05:00:00,13496.56045135948,-0.0,-0.0,13262.90322580645,20.0,33.657225553029114,23.56005788712038,200.0
