lat,lon,solar_cf_mean,wind_cf_mean,h2_score_raw,h2_score,h2_class
41.5,47.0,0.13488091643897998,0.00023434816378655788,0.05409297547386393,0.0,Very low
41.5,54.8,0.17540462204007284,0.4521557637087234,0.3414553070412632,99.99999999965202,Very high
41.5,62.6,0.19417782786885246,0.3228853358402741,0.27140233265170544,75.62207474855366,High
41.5,70.4,0.18782829234972676,0.0004800545953497775,0.07541934969710058,7.421423019098958,Very low
41.5,78.2,0.2148080134335155,0.004442226748900976,0.08858854142274679,12.004205895953373,Very low
41.5,86.0,0.20284777663934428,0.10919418923211024,0.14665562419500386,32.21112809599673,Low
44.1,47.0,0.14671328096539163,0.2971553587943759,0.23697852766278218,63.64284114439928,High
44.1,54.8,0.1717274134790528,0.41775221757699404,0.31934229593781754,92.30483307128158,Very high
44.1,62.6,0.18328738501821493,0.39954002209204953,0.3130389672625157,90.11132056708563,Very high
44.1,70.4,0.18127249772313295,0.2887667744277356,0.24576906374589452,66.70188372494013,High
44.1,78.2,0.18378423838797814,0.10018884970003353,0.13362700517521137,27.677263497709472,Low
44.1,86.0,0.1828505726320583,0.021850613624688868,0.08625059722763664,11.190618331309864,Very low
46.7,47.0,0.15841546675774135,0.34815842927568186,0.2722612442685056,75.92096974015271,High
46.7,54.8,0.16525556807832423,0.44688244824752477,0.33423169617984455,97.48623599238189,Very high
46.7,62.6,0.1744507137978142,0.2767321877904303,0.23581959819338386,63.23954212358712,High
46.7,70.4,0.17462747723132968,0.3592368337375706,0.2853930911350742,80.49075687783916,Very high
46.7,78.2,0.1801102140255009,0.4279642061272455,0.32882260928654766,95.60391312014788,Very high
46.7,86.0,0.18491801343351547,0.040044282113391595,0.09799377464144114,15.277158605990692,Very low
49.3,47.0,0.14704637978142077,0.3566959909228959,0.27283614646630583,76.1210315209235,High
49.3,54.8,0.15356876138433515,0.30851248538966336,0.24653499578753207,66.96842250107588,High
49.3,62.6,0.15783275842440803,0.3056530577839756,0.24652493804014858,66.9649224781854,High
49.3,70.4,0.15892121698542805,0.34983976976768943,0.27347234865478487,76.34242525231714,High
49.3,78.2,0.16350106102003642,0.23668311131682152,0.20741029119810744,53.35331004848499,Medium
49.3,86.0,0.1720149556010929,0.0001648305379467929,0.06890488056320523,5.154435171965367,Very low
51.9,47.0,0.14125840733151185,0.18105933263220014,0.16513896251192484,38.64319531094466,Low
51.9,54.8,0.14156344262295084,0.18529494855835935,0.16780234618419596,39.57003344513385,Low
51.9,62.6,0.14294061247723136,0.18535849516592842,0.1683913420904496,39.77499973387426,Low
51.9,70.4,0.14186797358834244,0.20450867299199055,0.1794523932305313,43.624165029726164,Medium
51.9,78.2,0.1462235826502732,0.2817018938179708,0.22751056935089176,60.34806055843482,High
51.9,86.0,0.13927027208561019,0.004873269571745569,0.05863207057729142,1.5795720610469342,Very low
54.5,47.0,0.12709669854280511,0.13824460383471757,0.1337854417179526,27.732398261502798,Low
54.5,54.8,0.1278281102003643,0.19318873296867564,0.1670444838613511,39.3063028724076,Low
54.5,62.6,0.13233712887067398,0.12932777952574667,0.1305315192637176,26.600056929054883,Low
54.5,70.4,0.13162921789617488,0.056212193851979134,0.08637900346965743,11.235302769009113,Very low
54.5,78.2,0.1337240300546448,0.2338630270953418,0.193807428279063,48.61961275253073,Medium
54.5,86.0,0.1311939071038251,0.13586570808337975,0.13399698769155788,27.80601472071326,Low
