asset,capacity_opt,total_output_or_input_mwh,capacity_factor
solar,6760636.242712244,51441602.52243245,0.0008686059779362312
wind,17851035.353509486,50373831.211695775,0.00032213466832907146
electrolyzer,29.696394686905172,250285.71428571074,0.962117754450069
