lat,lon,solar_cf_mean,wind_cf_mean
41.5,47.0,0.13488091643897998,0.00023434816378655788
41.5,54.8,0.17540462204007284,0.4521557637087234
41.5,62.6,0.19417782786885246,0.3228853358402741
41.5,70.4,0.18782829234972676,0.0004800545953497775
41.5,78.2,0.2148080134335155,0.004442226748900976
41.5,86.0,0.20284777663934428,0.10919418923211024
44.1,47.0,0.14671328096539163,0.2971553587943759
44.1,54.8,0.1717274134790528,0.41775221757699404
44.1,62.6,0.18328738501821493,0.39954002209204953
44.1,70.4,0.18127249772313295,0.2887667744277356
44.1,78.2,0.18378423838797814,0.10018884970003353
44.1,86.0,0.1828505726320583,0.021850613624688868
46.7,47.0,0.15841546675774135,0.34815842927568186
46.7,54.8,0.16525556807832423,0.44688244824752477
46.7,62.6,0.1744507137978142,0.2767321877904303
46.7,70.4,0.17462747723132968,0.3592368337375706
46.7,78.2,0.1801102140255009,0.4279642061272455
46.7,86.0,0.18491801343351547,0.040044282113391595
49.3,47.0,0.14704637978142077,0.3566959909228959
49.3,54.8,0.15356876138433515,0.30851248538966336
49.3,62.6,0.15783275842440803,0.3056530577839756
49.3,70.4,0.15892121698542805,0.34983976976768943
49.3,78.2,0.16350106102003642,0.23668311131682152
49.3,86.0,0.1720149556010929,0.0001648305379467929
51.9,47.0,0.14125840733151185,0.18105933263220014
51.9,54.8,0.14156344262295084,0.18529494855835935
51.9,62.6,0.14294061247723136,0.18535849516592842
51.9,70.4,0.14186797358834244,0.20450867299199055
51.9,78.2,0.1462235826502732,0.2817018938179708
51.9,86.0,0.13927027208561019,0.004873269571745569
54.5,47.0,0.12709669854280511,0.13824460383471757
54.5,54.8,0.1278281102003643,0.19318873296867564
54.5,62.6,0.13233712887067398,0.12932777952574667
54.5,70.4,0.13162921789617488,0.056212193851979134
54.5,78.2,0.1337240300546448,0.2338630270953418
54.5,86.0,0.1311939071038251,0.13586570808337975
