asset,available_mwh,actual_mwh,curtailed_mwh,curtailment_rate
solar,12273826005.260134,51418682.477041885,12222407322.783092,0.9958107046282875
wind,137383276009.77412,50352439.339567885,137332923570.43456,0.9996334893096014
