asset,capacity_opt,total_output_or_input_mwh,capacity_factor
solar,8022602.702983589,51418682.477041885,0.0007316469266702597
wind,30060919.281496093,50352439.339567885,0.0001912115629123931
electrolyzer,0.0,0.0,
